#key	name	year	genre	developer	players
Cosmic Fantasy 2 - Bouken Shounen Ban (Japan)	Cosmic Fantasy 2	1992	Role Playing Game	Shin-Nihon Laser Soft	1
Cosmic Fantasy 3 - Bouken Shounen Rei (Japan)	Cosmic Fantasy 3 - Bouken Shounen Rei	1992	Role Playing Game	Shin-Nihon Laser Soft	1
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen (Japan)	Cosmic Fantasy 4 - Ginga Shounen Densetsu - Gekitou-hen	1994	Role Playing Game	Shin-Nihon Laser Soft	1
Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen (Japan)	Cosmic Fantasy 4 - Ginga Shounen Densetsu - Totsunyuu-hen	1994	Role Playing Game	Shin-Nihon Laser Soft	1
Cyber City Oedo 808 - Kemono no Alignment (Japan)	Cyber City Oedo 808 - Kemono No Alignment	1991	Adventure	Nippon Computer Systems (NCS)	1
Daisenpuu Custom (Japan)	Daisenpuu Custom	1991	Shoot'em Up / Vertical/Shoot'em Up	Toaplan	1
Daisenryaku II - Campaign Version (Japan)	Daisenryaku 2 - Campaign Version	1992	Strategy	SystemSoft	1-2
Davis Cup Tennis, The (Japan)	The Davis Cup Tennis	1992	Sports / Tennis/Sports	Loriciel	1-4
De-Ja (Japan)	De-ja	1996	Adults/Adventure	Elf	1
Dead of the Brain 1&2 (Japan)	Dead Of The Brain 1 And 2	1999	Compilation/Adventure / Survival Horror/Adventure	FairyTale	1
Death Bringer - The Knight of Darkness (Japan)	Death Bringer - The Knight Of Darkness	1990	Role Playing Game	Renovation Products	1
Dekoboko Densetsu - Hashiru Wagamanmaa (Japan)	Dekoboko Densetsu - Hashiru Wagamanmaa	1990		Renovation Products	1-5
Dennou Tenshi - Digital Ange (Japan)	Dennou Tenshi - Digital Ange	1994	Adventure	Tokuma Shoten	1
Doraemon - Nobita no Dorabian Night (Japan)	Doraemon - Nobita No Dorabian Night	1992	Platform / Run & Jump/Platform	Now Production	1
Double Dragon II - The Revenge (Japan)	Double Dragon II : The Revenge	1993	Beat'em Up	Kid	1-2
Doukyuusei (Japan) (Rev 3)	Doukyuusei	1995	Adults/Adventure	Elf	1
Down Load 2 (Japan)	Down Load 2	1991	Shoot'em Up / Horizontal/Shoot'em Up	Alfa System	1
Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan)	Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai	1992	Beat'em Up	Technos Japan	1-4
Downtown Nekketsu Monogatari (Japan)	Downtown Nekketsu Monogatari	1993	Beat'em Up	Technos Japan	1-2
Dragon Ball Z - Idainaru Son Gokuu Densetsu (Japan) (FABT)	Dragon Ball Z - Idainaru Son Gokuu Densetsu	1994	Fighting	Bandai	1
Dragon Half (Japan)	Dragon Half	1993	Role Playing Game/Board game	Studio Hard	1-4
Dragon Knight & Graffiti (Japan)	Dragon Knight And Grafitti	1995	Role Playing Game	Elf	1
Dragon Knight II (Japan)	Dragon Knight 2	1992	Adults/Role Playing Game	Elf	1
