#key	synopsis
Ane-san (Japan)	The two sisters, Ai and Yuuko, have taken different paths in life. Yuuko has been taken away by a mysterious gang. Ai is determined to save her from the clutches of crime. In a seemingly all-female city overrun by insane workers, biker gangs, and assorted criminals, Ai and her friends Chika and Makoto decide to work together in order to restore the world to normality again. Ane-san is what is commonly called beat-'em-up, i.e. a fighting game that allows limited movement through side-scrolling environment. The player can choose to control a variety of female fighters. In the beginning, only Ai, Chika, and Makoto are selectable. Ai is the all-around balanced character, Chika is fast and fragile, while Makoto is very strong, but slow. Later in the game, other playable characters become available. Each fighter has a health points bar, which can be restored by healing items scattered through the levels. Once a character is dead, the player can continue playing with another one. The player typically advances through side-scrolling stages, clearing each screen of enemies before being able to continue walking to the right. Each girl has the standard kicks, punches, and jumps at her disposal, as well as special moves, one per each girl. Stages culminate by boss battles (usually two per stage). Between the stages, the player can go shopping. A large variety of items is available, some enhancing the performance of the girls, but most purely for visual effect - the room the player views between the stages changes its appearance depending on the items the player has bought. Also available between the stages (and as a separate gameplay mode, &quot;vs.&quot;) is a mini-game, in which the player(s) have to rapidly press buttons in order to make the controllable girl execute a hideous grimace, that will surpass that of the opponent in ugliness and speed of execution.
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)	Strategy game with a Mongol flavour. You have to trample your foes in battle and balance your economy by drafting and training soldiers, arranging your government and so on until you've taken over everything in your sight.
Asuka 120% Maxima - Burning Fest. Maxima (Japan)	Welcome to the &quot;Ryouran Private School for Women&quot; which educates the daughters of the upper echelons of society. Here, the high class clubs annually hold a martial arts tournament: the &quot;Club Rivalry Budget Contest Mega Fight.&quot; Each character employs a different fighting style; techniques are unique to each club.
Atlas, The - Renaissance Voyager (Japan)	Extremely Japanese-heavy historical adventure game where you move around a map of the world looking at various creatures and artefects.
Aurora Quest - Otaku no Seiza in Another World (Japan)	Foregoing the generic fantasy setting of most RPGs, Aurora Quest casts you as Otaku-chan, a man in a land controlled by a group of five women called Aurora (who would pass quite easily for a Japanese girlie band). Together with your fellow travellers, Jonjon and Nekketsu, you work your way through a humorous sci-fi story. The gameplay is very standard RPG stuff with towns containing shops, hotels and so on, and the world map throwing up random encounters every few steps. These battles are turn based with the usual mechanics of selecting your attacks and watching them play out - although you have to choose carefully, as you don't default to the next available target when one is destroyed, which will often have you shooting into thin air.
Avenger (Japan)	A devastating atomic war wiped out the biggest cities on the Earth and most of its population. Anarchy reigned, different military organizations fighting each other in a new war for dominance. One of such organizations eventually seized control of the planet, establishing itself as a tyrannic government and using advanced technology for military purposes. Only a lone pilot can save humanity from their clutches... Avenger is a vertically-scrolling shooter, in which the player navigates a plane through levels populated by hostile planes, tanks, cannons, ships, stationary devices, and massive boss enemies. Before each mission, the player can choose among different weapons in three categories: main, sub, and special. Main and sub weapons are fired simultaneously and have unlimited ammunition, while the powerful special attacks are accessed by pressing a different button and are limited.
Babel (Japan)	In the distant future, human beings invented space warps, which allowed space travel to long distances. On board the space ship Agamemnon, they started an intergalactic journey. But an accident happened, and the humans were thrown into a parallel universe. Years have passed until they have adapted themselves to the different civilization. This parallel world, composed of three huge continents, is called Babel. Zell is a teenage boy, an orphan who lives in a post-apocalyptic world riding his bike, together with his friend Alice, who is like a big sister to him. One day they meet a mysterious girl named Sefia who seems to be on an important mission. Their struggle against evil begins at that moment... Babel is a Japanese-style RPG set in a futuristic world. Zell and his party travel around the world, visiting large cities and encountering many randomly appearing enemies. During the turn-based battles, each character can use a variety of attacks with different weapons, as well as special techniques. The combat window shows animated moves of the party members. Unlike in most role-playing games, characters do not receive experience points from defeating enemies; only money is gained. The characters level up according to the player's progress in the narrative.
Baby Jo - The Super Hero (Japan)	Baby Jo in: &quot;Going Home&quot; or Super Hero' is a side-scrolling platform game. Jo can pick up rattles which can be tossed at enemies (such as bees, lawnmowers or spiders). Apart from watching out for the baby's dropping health (represented as an increasingly tearful face), the baby's diaper gets wetter over time and the thirst increases, too. If the diaper becomes too wet or the baby becomes too thirsty, the player immediately loses a life, so collecting fresh bottles and diapers is important.
Bakuden - Unbalance Zone (Japan)	Bakuden: Unbalance Zone is a humorous game in which the player controls a nerdy, video game-playing boy who is one day visited by four strange men who tell him he must venture into a different reality. The unlikely hero is transported to the prehistoric era, where he must set things right with the local tribe and dangerous wildlife. The game consists of non-interactive comic book-style scenes with voice-overs, as well as short, very simple adventure-like segments. During these segments the player has five icons at his disposal, each corresponding to a context-specific action. Only one of these actions can solve the problem at hand, but others trigger humorous animations and allow the player to proceed even if the result was fatal
Bakushou Yoshimoto Shinkigeki (Japan) (FABT)	The game is based on the comedy TV show Yoshimoto no Shinkigeki, which in its turn is based on a theatrical comedy show popular in Osaka and its surroundings. The game stars characters that either look like the actors from the TV show and/or resemble characters played by them. The show consists of short episodes which are depictions of comical situations, and are not related to each other story-wise. Same can be applied to the game: there is no real story, just a stretch of hilarious and intentionally impossible situations the protagonists find themselves in.
Basted (Japan)	Two young and lovely bounty huntresses, Ryeza and Anita, live in a village that is continuously attacked by monsters. One day, solving a little monster problem in the nearby forest, they encounter a mysterious masked man, who tells Ryeza she wields the power of the sacred jewel Basted. Soon the two girls join forces with a princess in exile, and work together to restore the throne to its rightful owners, persecuted by the ruthless Empire and its allies. Though Basted may look like an RPG at first sight (medieval setting, top-down world, game progression that alternates between towns and dungeons, etc.), it is in fact primarily an action game. Controlling Ryeza and Anita, the player explores the surroundings, talks to people and participates in battles to advance the story. There are no levels, items, equipment, money system, or other required RPG elements. Most battles occur as dictated by the plot, though some are optional. The battles take place on a separate screen. For most battles, the player is able to choose either Ryeza or Anita. Ryeza can jump, and Anita has a long-ranged fire attack. Regular attacks can be powered-up if executed when the attack power meter is at maximum. Both girls can also charge power to execute devastating special attacks (two unique attacks per girl). They are also able to dash and attack while dashing, inflicting more damage. The game features a large amount of fully voiced anime-style cutscenes to advance the story.
Battle Shanghai - Dragon's Eye (Japan)	Dragon's Eye is a conversion of the famous Chinese tile-matching board game known internationally as Shanghai, and is very similar to Shanghai II: Dragon's Eye. The game features versions of both Shanghai and Dragon's Eye for either one or two players, a dozen tile layouts with four sets of tiles (a traditional mahjong set, a medieval fantasy set, traffic signs, and national flags; the Genesis version only has the first two), and several other play options including hints.
