#key	name	year	genre	developer	players
Deep Blue (USA)	Deep Blue	1990	Shoot'em Up / Horizontal/Shoot'em Up	Pack In Video	1
Detana!! TwinBee (Japan)	Detana!! TwinBee	1992	Shoot'em Up / Vertical/Shoot'em Up	Konami	1-2
Devil's Crush (USA)	Devil's Crush	1990	Pinball	Naxat Soft	1-2
Die Hard (Japan)	Die Hard	1990	Shooter / Run and Gun/Shooter	Pack In Video	1
Digital Champ - Battle Boxing (Japan)	Digital Champ: Battle Boxing	1989	Sports/Sports / Boxing	Naxat Soft	1
Don Doko Don! (Japan)	Don Doko Don!	1990	Platform	Taito	1-2
Doraemon - Nobita no Dorabian Night (Japan)	Doraemon : Nobita no Dorabian Night	1991	Platform	Now Production	1
Double Dungeons (USA)	Double Dungeons	1989	Role Playing Game	Nippon Computer Systems (NCS)	1-2
Down Load (Japan)	Down Load	1990	Shoot'em Up / Horizontal/Shoot'em Up	Alfa System	1
Dragon Egg! (Japan)	Dragon Egg!	1991	Platform	Tenky	1
Dragon Saber (Japan) (En)	Dragon Saber : After Story of Dragon Spirit	1991	Shoot'em Up / Vertical/Shoot'em Up	Namcot	1-2
Dragon Spirit (USA)	Dragon Spirit	1989	Shoot'em Up / Vertical/Shoot'em Up	Namco	1
Dragon's Curse (USA)	Dragon's Curse	1990	Platform	Westone	1
Drop Off (USA)	Drop Off	1990	Action/Action / Breakout games	Data East	1-2
Dungeon Explorer (USA)	Dungeon Explorer	1989	Role Playing Game	Atlus	1-5
Dungeons & Dragons - Order of the Griffon (USA)	Dungeons & Dragons : Order of the Griffon	1992	Role Playing Game	Westwood Associates	1
Energy (Japan)	Energy	1989	Shooter / Run and Gun/Shooter	Quasar Soft	1-5
Eternal City - Toshi Tensou Keikaku (Japan)	Toshi Tensou Keikaku : Eternal City	1991	Platform / Shooter Scrolling/Platform	Naxat Soft	1
F-1 Dream (Japan)	F-1 Dream	1989	Racing, Driving	Capcom	1
F-1 Pilot - You're King of Kings (Japan)	F-1 Pilot : You're King of Kings	1989	Racing, Driving	Pack In Video	1
F1 Circus '91 (Japan)	F1 Circus '91 : World Championship	1991	Racing, Driving	Nichibutsu	1
F1 Circus '92 (Japan)	F1 Circus '92 : The Speed of Sound	1992	Racing, Driving	Nichibutsu	1
F1 Circus (Japan)	F1 Circus	1990	Racing, Driving	Nichibutsu	1-5
F1 Triple Battle (Japan) (En)	F1 Triple Battle	1989	Racing, Driving	Human Entertainment	1-3
Falcon (USA)	Falcon	1992	Shooter / Plane/Shooter	Spectrum Holobyte	1-2
Fantasy Zone (USA)	Fantasy Zone	1989	Shoot'em Up / Horizontal/Shoot'em Up	Bits Laboratory	1-2
Fighting Run (Japan)	Fighting Run	1991	Racing, Driving	Nichibutsu	1-2
Final Blaster (Japan) (En)	Final Blaster	1990	Shoot'em Up / Vertical/Shoot'em Up	Aisystem Tokyo	1
Final Lap Twin (USA)	Final Lap Twin	1989	Racing, Driving	Namco	1-2
Final Match Tennis (Japan)	Final Match Tennis	1991	Sports / Tennis/Sports	Human Entertainment	1-4
Final Soldier (Japan) (En)	Final Soldier	1991	Shoot'em Up / Vertical/Shoot'em Up	Hudson Soft	1
Final Soldier - Special Version (Japan) (En)	Final Soldier	1991	Shoot'em Up / Vertical/Shoot'em Up	Hudson Soft	1
Fire Pro Wrestling - 2nd Bout (Japan)	Fire Pro Wrestling 2 : 2nd Bout	1991	Sports / Wrestling/Sports	Human Entertainment	1-4
Fire Pro Wrestling - Combination Tag (Japan)	Fire Pro Wrestling : Combination Tag	1989	Sports / Wrestling/Sports	Human Entertainment	1-4
Fire Pro Wrestling 3 - Legend Bout (Japan)	Fire Pro Wrestling 3 : Legend Bout	1992	Sports / Wrestling/Sports	Human Entertainment	1-4
Formation Soccer - Human Cup '90 (Japan) (En)	Formation Soccer : Human Cup '90	1990	Sports / Football (Soccer)/Sports	Human Entertainment	1-2
Formation Soccer - On J.League (Japan)	Formation Soccer : On J. League	1994	Sports/Sports / Football (Soccer)	Human Entertainment	1-2
Fushigi no Yume no Alice (Japan)	Fushigi no Yume no Alice	1990	Platform	FACE	1
Gai Flame (Japan)	Gai Flame	1990	Strategy	Nippon Computer Systems (NCS)	1
Gaia no Monshou (Japan)	Gaia no Monshou	1988	Strategy	Nippon Computer Systems (NCS)	1-2
Galaga '90 (USA)	Galaga '90	1989	Shoot'em Up / Vertical/Shoot'em Up	Namco	1
Ganbare! Golf Boys (Japan)	Ganbare! Golf Boys	1989	Sports/Sports / Golf	Klon	1-4
Gekisha Boy (Japan)	Gekisha Boy	1992	Platform	Tomcat System	1
Genji Tsuushin Agedama (Japan)	Genji Tsuushin Agedama	1991	Platform	Red Company Corporation	1
Genpei Toumaden (Japan)	Genpei Toumaden	1990	Platform	Namcot	1
Ghost Manor (USA)	Ghost Manor	1992	Platform	ICOM Simulations	1
Gokuraku! Chuuka Taisen (Japan)	Gokuraku! Chuuka Taisen	1992	Shoot'em Up / Horizontal/Shoot'em Up	Daiei Seisakusho	1
Gomola Speed (Japan) (En)	Gomola Speed	1990	Action / Labyrinth/Action	UPL	1
Gradius (Japan) (En)	Gradius	1991	Shoot'em Up / Horizontal/Shoot'em Up	Konami	1-2
