#key	style	ss_system_id
Kore ga Pro Yakyuu '90 (Japan)	box-3D	31
Kyuukyoku Tiger (Japan) (En)	box-3D	31
Legend of Hero Tonma (USA)	box-3D	31
Legendary Axe II (USA)	box-3D	31
Legendary Axe, The (USA)	box-3D	31
Lode Runner - Lost Labyrinth (Japan)	box-3D	31
Maerchen Maze (Japan)	box-3D	31
Magical Chase (USA)	box-3D	31
Mahjong Gakuen - Touma Soushirou Toujou (Japan)	box-3D	31
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan)	box-3D	31
Mahjong Gokuu Special (Japan)	box-3D	31
Mahjong Haouden - Kaiser's Quest (Japan)	box-3D	31
Mahjong Shikaku Retsuden - Mahjong Wars (Japan)	box-3D	31
Maison Ikkoku (Japan)	box-3D	31
Makai Hakkenden - Shada (Japan)	box-3D	31
Makai Prince Dorabocchan (Japan)	box-3D	31
Maniac Pro Wres - Asu e no Tatakai (Japan)	box-3D	31
Metal Stoker (Japan) (En)	box-3D	31
Military Madness (USA)	box-3D	31
Mizubaku Daibouken (Japan)	box-3D	31
Momotarou Densetsu Gaiden - Dai-1-shuu (Japan)	box-3D	31
Momotarou Densetsu II (Japan)	box-3D	31
Momotarou Densetsu Turbo (Japan)	box-3D	31
Momotarou Katsugeki (Japan)	box-3D	31
Monster Pro Wres (Japan)	box-3D	31
Morita Shougi PC (Japan)	box-3D	31
Moto Roader (USA)	box-3D	31
Moto Roader II (Japan) (En)	box-3D	31
Mr. Heli no Daibouken (Japan)	box-3D	31
NHK Taiga Drama - Taiheiki (Japan)	box-3D	31
Naxat Open (Japan)	box-3D	31
Naxat Stadium (Japan)	box-3D	31
Nazo no Mascarade (Japan)	box-3D	31
Necros no Yousai (Japan)	box-3D	31
Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan)	box-3D	31
Nekketsu Koukou Dodgeball-bu - PC Soccer Hen (Japan)	box-3D	31
Neutopia (USA)	box-3D	31
Neutopia II (USA)	box-3D	31
New Adventure Island (USA)	box-3D	31
NewZealand Story, The (Japan) (En)	box-3D	31
Night Creatures (USA)	box-3D	31
Ninja Ryuuken Den (Japan) (En,Ja,Zh)	box-3D	31
Ninja Spirit (USA)	box-3D	31
Ninjawarriors, The (Japan)	box-3D	31
Obocchama-kun (Japan)	box-3D	31
Off the Wall (USA) (Proto)	mixrbv2	31
Okaasan to Issho - Niko Niko Pun (Japan)	box-3D	31
Operation Wolf (Japan)	box-3D	31
Ordyne (USA)	box-3D	31
Out Live (Japan)	box-3D	31
OutRun (Japan) (En)	box-3D	31
Override (Japan) (En)	box-3D	31
P-47 - The Freedom Fighter (Japan) (En)	box-3D	31
Pac-Land (USA)	box-3D	31
Pachio-kun - Juuban Shoubu (Japan)	box-3D	31
Parasol Stars - The Story of Bubble Bobble III (USA)	box-3D	31
Parodius Da! - Shinwa kara Owarai e (Japan) (En)	box-3D	31
Populous (Japan) (En)	box-3D	31
Power Drift (Japan) (En)	box-3D	31
Power Eleven (Japan)	box-3D	31
Power Gate (Japan)	box-3D	31
Power Golf (USA)	box-3D	31
Power League '93 (Japan)	box-3D	31
Power League 4 (Japan)	box-3D	31
Power League 5 (Japan)	box-3D	31
Power League II (Japan)	box-3D	31
Power League III (Japan)	box-3D	31
Power Tennis (Japan)	box-3D	31
Pro Yakyuu World Stadium '91 (Japan)	box-3D	31
Pro Yakyuu World Stadium (Japan)	box-3D	31
Psycho Chaser (Japan) (En)	box-3D	31
Psychosis (USA)	box-3D	31
Puzzle Boy (Japan)	box-3D	31
Puzznic (Japan) (En)	box-3D	31
R-Type (USA)	box-3D	31
R-Type I (Japan) (En)	box-3D	31
R-Type II (Japan) (En)	box-3D	31
Rabio Lepus Special (Japan)	box-3D	31
Racing Damashii (Japan)	box-3D	31
Raiden (USA)	box-3D	31
Rastan Saga II (Japan) (En)	box-3D	31
Rock-On (Japan)	box-3D	31
Ryuukyuu (Japan)	box-3D	31
S.C.I. - Special Criminal Investigation (Japan)	box-3D	31
Sadakichi Seven - Hideyoshi no Ougon (Japan)	box-3D	31
Salamander (Japan) (En)	box-3D	31
Samurai-Ghost (USA)	box-3D	31
Sekigahara (Japan)	box-3D	31
Sengoku Mahjong (Japan)	box-3D	31
Shanghai (Japan)	box-3D	31
Shinobi (Japan)	box-3D	31
Shiryou Sensen - War of the Dead (Japan)	box-3D	31
Shockman (USA)	box-3D	31
Shougi Shodan Icchokusen (Japan)	box-3D	31
Shougi Shoshinsha Muyou (Japan)	box-3D	31
SideArms (USA)	box-3D	31
Silent Debuggers (USA)	box-3D	31
Sindibad - Chitei no Daimakyuu (Japan)	box-3D	31
Sinistron (USA)	box-3D	31
Skweek (Japan) (En)	box-3D	31
Soldier Blade (USA)	box-3D	31
Soldier Blade - Special Version (Japan) (En)	box-3D	31
Somer Assault (USA)	box-3D	31
Son Son II (Japan)	box-3D	31
Sonic Spike - World Championship Beach Volleyball (USA)	box-3D	31
Space Harrier (USA)	box-3D	31
Space Invaders - Fukkatsu no Hi (Japan)	box-3D	31
Spin Pair (Japan) (En)	box-3D	31
Spiral Wave (Japan)	box-3D	31
Splatterhouse (USA)	box-3D	31
Stratego (Japan)	box-3D	31
Street Fighter II' - Champion Edition (Japan)	box-3D	31
Super Metal Crusher (Japan) (En)	box-3D	31
Super Momotarou Dentetsu (Japan)	box-3D	31
Super Momotarou Dentetsu II (Japan)	box-3D	31
Super Star Soldier (USA)	box-3D	31
Super Volleyball (USA)	box-3D	31
Susanoou Densetsu (Japan)	box-3D	31
TV Sports Basketball (USA)	box-3D	31
TV Sports Football (USA)	box-3D	31
TV Sports Hockey (USA)	box-3D	31
Takeda Shingen (Japan)	box-3D	31
Takin' It to the Hoop (USA)	box-3D	31
TaleSpin (USA)	box-3D	31
Tatsujin (Japan) (En)	box-3D	31
Tatsunoko Fighter (Japan)	box-3D	31
Tenseiryuu - Saint Dragon (Japan) (En)	box-3D	31
Terra Cresta II - Mandoler no Gyakushuu (Japan) (En)	box-3D	31
Thunder Blade (Japan) (En)	box-3D	31
Tiger Road (USA)	box-3D	31
Time Cruise (USA)	box-3D	31
Timeball (USA)	box-3D	31
Titan (Japan) (En)	box-3D	31
Toilet Kids (Japan)	box-3D	31
Tower of Druaga, The (Japan)	box-3D	31
Toy Shop Boys (Japan) (En)	box-3D	31
Tricky Kick (USA)	box-3D	31
Tsuppari Oozumou - Heisei Ban (Japan)	box-3D	31
Tsuru Teruhito no Jissen Kabushiki Bai Bai Game (Japan)	box-3D	31
Turrican (USA)	box-3D	31
Valkyrie no Densetsu (Japan)	box-3D	31
Veigues - Tactical Gladiator (USA)	box-3D	31
Victory Run (USA)	box-3D	31
Vigilante (USA)	box-3D	31
Volfied (Japan) (En)	box-3D	31
W Ring - The Double Rings (Japan) (En)	box-3D	31
Wai Wai Mahjong - Yukai na Janyuu-tachi (Japan)	box-3D	31
Wallaby!! (Japan)	box-3D	31
Winning Shot (Japan)	box-3D	31
Wonder Momo (Japan)	box-3D	31
World Circuit (Japan)	box-3D	31
World Class Baseball (USA)	box-3D	31
World Court Tennis (USA)	box-3D	31
World Jockey (Japan)	box-3D	31
World Sports Competition (USA)	box-3D	31
Xevious - Fardraut Densetsu (Japan)	box-3D	31
Yo' Bro (USA)	box-3D	31
You-You Jinsei (Japan)	box-3D	31
Youkai Douchuuki (Japan)	box-3D	31
Zero4 Champ (Japan)	box-3D	31
Zipang (Japan) (En)	box-3D	31
