#key	name	year	genre	developer	players
1941 - Counter Attack (Japan)	1941 : Counter Attack	1991	Shoot'em Up / Vertical/Shoot'em Up	Capcom	1-2
Aldynes - The Misson Code for Rage Crisis (Japan) (En)	Aldynes : The Misson Code for Rage Crisis	1991	Shoot'em Up/Shoot'em Up / Horizontal	Produce	1-2
Battle Ace (Japan) (En)	Battle Ace	1989	Shoot'em Up	Hudson Soft	1
Daimakaimura (Japan) (En)	Dai-Makaimura	1990	Platform	Alfa System	1
Madou King Granzort (Japan) (En)	Madou King Granzort	1990	Platform	Sunrise Software	1
