#key	synopsis
1941 - Counter Attack (Japan)	Troisième épisode de la célèbre série des 19XX de Capcom, c'est la Supergrafx de NEC qui a eu le privilège de recevoir l'adaptation de 1941. Tout au long des six niveaux de ce jeu, on va se battre contre des avions, chars, des bateaux, la variété des ennemis n?ayant jamais été le fort des 19XX mais c'est ce qui fait aussi son charme. On traverse des contrées assez variées comme la campagne (normande ?), la mer et même une ville.
Aldynes - The Misson Code for Rage Crisis (Japan) (En)	Aldynes est un shoot 'em up : la galaxie est envahie par de méchants extraterrestres et vous et votre appareil, l'Aldynes, représentez de seul espoir de l'humanité. Il va donc falloir faire votre chemin au travers de niveaux variés bondés d'ennemis vous tirant allègrement dessus. Vous aurez la possibilité d'exploiter plusieurs armes (malheureusement peu nombreuses) pour mener à bien votre mission. Vous pourrez également disposer de pods (jusqu'à 4) vous compléter votre puissance de frappe. Ceux-ci peuvent soit rester près de vous, vous protégeant partiellement contre les attaques ennemies, soit se promener librement à travers l'écran, auquel cas, ils attaqueront tout adversaire se présentant à proximité d'eux.
Battle Ace (Japan) (En)	Fourni initialement avec la SuperGrafx, Battle Ace est un shoot 3D en vue cock-pit imposée (fausse 3D en fait puisque les ennemis sont des sprites, pour la 3D il faudra attendre Starfox). Le gameplay est minimaliste; il s'agit à la manière d'AfterBurner d'exterminer les vagues d'ennemis successives en esquivant leurs tirs, l'armement constitué d'une mitrailleuse lourde et de missiles téléguidés et non-évolutif.
Daimakaimura (Japan) (En)	Trois ans après les événements de Ghosts'n Goblins, le monde est à nouveau attaqué par les démons. Guenièvre, la fiancée d'Arthur le chevalier, est tuée sous ses yeux par Lucifer en personne. Arthur est donc forcé de parcourir le royaume infesté de créatures maléfiques pour sauver l'âme de sa bien aimée.
Madou King Granzort (Japan) (En)	Madouou Granzort est un jeu de plates-formes/action qui se compose de sept zones gardées chacune par un boss. Vous allez traverser des ruines, des souterrains, une forêt ou encore un quelconque complexe futuriste en laminant des robots de diverses formes. Vous ferez sauter votre personnage en appuyant sur le bouton I et le ferez frapper en pressant la touche II. C'est le bouton Select qui met le jeu en pause, car Run est utilisé pour changer de héros. Vous pouvez à tout instant passer du chevalier rouge au vert, puis au bleu et ainsi de suite.
