#key	synopsis
1941 - Counter Attack (Japan)	La precuela de 1942, como los demás juegos de la serie 194x, es un shooter de vista cenital ambientado en la Segunda Guerra Mundial. Uno o dos jugadores controlan un P-38 (para el jugador 1) o un Mosquito (para el jugador 2), disparando a aviones y barcos enemigos. Como en los juegos anteriores, un botón dispara el arma del avión (que se puede mejorar recogiendo los potenciadores que dejan los enemigos) y el otro hace que el avión entre en bucle, destruyendo todo lo que hay en pantalla (o causando daño extra a los jefes, contra los que se lucha al final de cada nivel). La munición normal es infinita, mientras que las armas mejoradas tienen munición limitada. Cuando se mantiene pulsado el botón del arma, se carga una barra en la parte inferior de la pantalla y se puede lanzar un disparo especial, cuyo efecto varía de un arma a otra. El avión tiene una barra de vida que comienza con tres puntos. Cada impacto recibido o bucle utilizado consumirá un punto de vida. El jugador ganará nuevos puntos de vida al final de los niveles o recogiendo los potenciadores adecuados. Otros potenciadores disponibles son el lado auxiliar y los aviones fantasma. Se pueden utilizar tres continues, y se añade un punto a la puntuación cuando se utiliza uno de ellos (una característica introducida por primera vez por este juego y luego copiada por otros shoot-em-ups).
Aldynes - The Misson Code for Rage Crisis (Japan) (En)	La galaxia es invadida por malvados extraterrestres y tú y tu dispositivo, los Aldynes, representáis la única esperanza de la humanidad. Por lo tanto, será necesario abrirse camino a través de varios niveles enemigos que te disparan rápidamente. Tendrás la oportunidad de usar varias armas (lamentablemente pocas) para llevar a cabo tu misión. También tendrás pods (hasta 4) para aumentar tu poder. Pueden permanecer cerca de ti, protegiéndote parcialmente contra ataques enemigos, o moverse libremente por la pantalla, en cuyo caso atacarán a cualquier oponente que se encuentre cerca de ellos.
Battle Ace (Japan) (En)	Battle Ace es un juego de vuelo orientado a la acción en una perspectiva en primera persona. El jugador pilota una nave espacial, incluyendo un radar que muestra enemigos, y el objetivo es llegar al final de cada nivel donde espera un jefe final. Como de costumbre, la misión principal es aniquilar a una gran cantidad de enemigos que se acercan al jugador. Las armas disponibles son las bombas y una ametralladora, ambas ilimitadas. Ser golpeado es una mala idea porque resulta en la muerte. El jugador tiene tres vidas que pueden ser a,aliadas al anotar 20000 puntos.
Daimakaimura (Japan) (En)	Cuando los caballeros recorrieron el campo en busca del Santo Grial, defendieron el honor de las doncellas y libraron una batalla interminable contra las fuerzas del mal. Arrojado en este caos, eres el valiente Sir Arthur. Un caballero victorioso con la asombrosa misión de penetrar en el Castillo del Demonio para pulverizar al Príncipe de la Oscuridad. ¿Puedrás hacerlo? Depende de ti. Estarás en el Pueblo de Decay, el Pueblo de Fuego y el Bosque de Cristal con un arsenal de armas a tu lado. Y cuando realmente estás de suerte, las artes mágicas pueden tener resultados poderosos. ¿El único problema? Tendrás que aprender a usarlo, y evitarlo, Porque tu magia tiene el poder de convertirte en un pato indefenso, entre otras cosas. Pero no hay mucho tiempo. Las vidas dependen de ti. Así que blande tu espada y haz carne picada de tus enemigos.
Madou King Granzort (Japan) (En)	¨Madou King Granzort¨ está basado en el anime del mismo nombre. La historia tiene lugar en un contexto de ciencia-ficción en el que a unos niños se les da poderes especiales para salvar al mundo del malvado clan Jadou. Para ser más exactos, pueden convocar a tres criaturas de gran poder: Los reyes Madou de la tierra, el agua y el viento. El jugador toma el papel de estos reyes, para derrotar al clan Jadou. El jugador tiene que encontrar el camino a través de los niveles, mientras que resuelve los desafíos de plataformas básicos y una gran cantidad de combates, ya sea con una espada o disparando. El jugador puede cambiar entre los reyes Madou que tienen capacidades diferentes. Es importante vigilar la barra de energía y el límite de tiempo: el resultado de que se acabe cualquiera de estos es la pérdida de una vida.
